model,logic,completed_slots,accuracy_correct,accuracy_total,accuracy_rate,valid_sat_witnesses,correct_sat_verdicts,sat_witness_rate
Codex 5.6 Sol,ABVFP,45,45,45,1.00000000,45,45,1.00000000
Codex 5.6 Sol,ALIA,60,57,60,0.95000000,5,5,1.00000000
Codex 5.6 Sol,LIA,60,58,60,0.96666667,14,28,0.50000000
Codex 5.6 Sol,NIA,60,59,60,0.98333333,29,29,1.00000000
Codex 5.6 Sol,NRA,60,60,60,1.00000000,20,25,0.80000000
Codex 5.6 Sol,QF_ALIA,55,47,55,0.85454545,20,22,0.90909091
Codex 5.6 Sol,QF_AUFLIA,60,58,60,0.96666667,10,30,0.33333333
Codex 5.6 Sol,QF_NIRA,5,5,5,1.00000000,0,0,
Codex 5.6 Sol,QF_S,60,60,60,1.00000000,30,30,1.00000000
DeepSeek V4 Flash,ABVFP,45,45,45,1.00000000,38,45,0.84444444
DeepSeek V4 Flash,ALIA,60,51,60,0.85000000,5,5,1.00000000
DeepSeek V4 Flash,LIA,60,51,60,0.85000000,11,25,0.44000000
DeepSeek V4 Flash,NIA,60,54,60,0.90000000,28,29,0.96551724
DeepSeek V4 Flash,NRA,60,60,60,1.00000000,19,25,0.76000000
DeepSeek V4 Flash,QF_ALIA,55,28,55,0.50909091,3,3,1.00000000
DeepSeek V4 Flash,QF_AUFLIA,60,50,60,0.83333333,10,28,0.35714286
DeepSeek V4 Flash,QF_NIRA,5,5,5,1.00000000,0,0,
DeepSeek V4 Flash,QF_S,60,59,60,0.98333333,25,29,0.86206897
DeepSeek V4 Pro,ABVFP,45,42,45,0.93333333,19,42,0.45238095
DeepSeek V4 Pro,ALIA,60,37,60,0.61666667,4,5,0.80000000
DeepSeek V4 Pro,LIA,60,48,60,0.80000000,9,22,0.40909091
DeepSeek V4 Pro,NIA,60,47,60,0.78333333,22,25,0.88000000
DeepSeek V4 Pro,NRA,60,59,60,0.98333333,19,25,0.76000000
DeepSeek V4 Pro,QF_ALIA,55,21,55,0.38181818,0,0,
DeepSeek V4 Pro,QF_AUFLIA,60,45,60,0.75000000,9,21,0.42857143
DeepSeek V4 Pro,QF_NIRA,5,5,5,1.00000000,0,0,
DeepSeek V4 Pro,QF_S,60,52,60,0.86666667,23,25,0.92000000
