model,metric,score,case_count
Codex 5.6 Sol,sat_unsat_correct_out_of_5,0,0
Codex 5.6 Sol,final_success_out_of_5,0,0
Codex 5.6 Sol,sat_unsat_correct_out_of_5,1,0
Codex 5.6 Sol,final_success_out_of_5,1,0
Codex 5.6 Sol,sat_unsat_correct_out_of_5,2,0
Codex 5.6 Sol,final_success_out_of_5,2,0
Codex 5.6 Sol,sat_unsat_correct_out_of_5,3,0
Codex 5.6 Sol,final_success_out_of_5,3,0
Codex 5.6 Sol,sat_unsat_correct_out_of_5,4,4
Codex 5.6 Sol,final_success_out_of_5,4,5
Codex 5.6 Sol,sat_unsat_correct_out_of_5,5,9
Codex 5.6 Sol,final_success_out_of_5,5,8
Codex 5.6 Sol,incomplete_cases_excluded_from_distribution,,1
DeepSeek V4 Flash,sat_unsat_correct_out_of_5,0,2
DeepSeek V4 Flash,final_success_out_of_5,0,6
DeepSeek V4 Flash,sat_unsat_correct_out_of_5,1,5
DeepSeek V4 Flash,final_success_out_of_5,1,5
DeepSeek V4 Flash,sat_unsat_correct_out_of_5,2,3
DeepSeek V4 Flash,final_success_out_of_5,2,6
DeepSeek V4 Flash,sat_unsat_correct_out_of_5,3,4
DeepSeek V4 Flash,final_success_out_of_5,3,3
DeepSeek V4 Flash,sat_unsat_correct_out_of_5,4,9
DeepSeek V4 Flash,final_success_out_of_5,4,12
DeepSeek V4 Flash,sat_unsat_correct_out_of_5,5,37
DeepSeek V4 Flash,final_success_out_of_5,5,28
DeepSeek V4 Flash,incomplete_cases_excluded_from_distribution,,1
DeepSeek V4 Pro,sat_unsat_correct_out_of_5,0,8
DeepSeek V4 Pro,final_success_out_of_5,0,8
DeepSeek V4 Pro,sat_unsat_correct_out_of_5,1,0
DeepSeek V4 Pro,final_success_out_of_5,1,0
DeepSeek V4 Pro,sat_unsat_correct_out_of_5,2,1
DeepSeek V4 Pro,final_success_out_of_5,2,3
DeepSeek V4 Pro,sat_unsat_correct_out_of_5,3,0
DeepSeek V4 Pro,final_success_out_of_5,3,3
DeepSeek V4 Pro,sat_unsat_correct_out_of_5,4,2
DeepSeek V4 Pro,final_success_out_of_5,4,3
DeepSeek V4 Pro,sat_unsat_correct_out_of_5,5,9
DeepSeek V4 Pro,final_success_out_of_5,5,3
DeepSeek V4 Pro,incomplete_cases_excluded_from_distribution,,0
